Hours_Studied,Attendance_%,Sleep_Hours,Previous_Score,Final_Exam_Score
3.75,90.37,8.7,63.29,104.52
9.51,94.8,8.77,78.6,138.52
7.32,65.9,8.57,67.5,119.86
5.99,55.5,5.85,72.74,89.39
1.56,61.4,4.08,96.49,81.41
1.56,71.36,8.64,63.17,81.31
0.58,90.9,6.14,97.67,98.61
8.66,93.04,8.83,94.32,131.41
6.01,50.35,8.82,51.75,88.11
7.08,75.54,8.27,44.16,97.53
0.21,70.87,5.47,46.05,46.51
9.7,61.11,5.93,41.09,98.41
8.32,55.99,8.26,45.67,97.66
2.12,66.88,5.58,80.98,80.58
1.82,97.15,4.85,44.27,72.19
1.83,66.16,6.78,59.14,82.41
3.04,75.94,8.68,90.69,105.07
5.25,85.15,7.48,41.4,87.9
4.32,68.18,6.85,88.87,93.66
2.91,98.59,4.49,56.91,82.82
6.12,98.12,7.08,47.09,93.49
1.39,62.59,8.95,81.8,94.48
2.92,74.86,4.7,77.74,88.16
3.66,65.04,6.59,92.65,92.32
4.56,64.24,8.39,84.1,92.31
7.85,51.84,7.7,88.21,119.98
2.0,80.48,7.49,56.92,78.78
5.14,75.13,7.51,50.65,97.24
5.92,52.57,5.8,85.04,88.83
0.46,63.93,5.47,88.41,70.27
6.08,95.41,8.05,99.43,122.94
1.71,61.98,8.05,64.76,77.41
0.65,57.24,8.34,62.32,68.11
9.49,74.47,8.57,86.58,133.23
9.66,99.28,6.56,60.45,116.58
8.08,62.1,6.51,95.85,116.2
3.05,83.61,7.99,91.5,101.49
0.98,88.08,7.25,65.74,81.93
6.84,61.88,7.51,85.05,112.88
4.4,86.41,7.98,85.27,100.35
1.22,68.39,8.45,46.19,62.77
4.95,81.62,5.69,94.15,110.36
0.34,81.68,5.88,70.32,73.64
9.09,76.79,4.47,89.59,114.0
2.59,54.51,6.89,59.2,81.4
6.63,91.77,4.18,93.73,111.27
3.12,66.04,6.33,63.35,85.62
5.2,59.33,6.71,40.65,80.54
5.47,52.04,5.43,94.32,107.28
1.85,79.54,6.95,45.48,80.94
9.7,83.88,4.15,59.16,108.52
7.75,50.83,4.19,97.0,110.23
9.39,75.6,8.11,97.04,136.04
8.95,61.32,5.8,74.41,117.15
5.98,82.26,4.64,77.91,94.82
9.22,58.72,6.61,66.91,113.74
0.88,84.55,7.85,57.59,81.67
1.96,69.34,5.08,59.72,60.93
0.45,96.84,7.11,80.35,78.88
3.25,56.88,4.43,85.14,70.47
3.89,67.05,4.26,87.49,85.98
2.71,55.67,6.66,87.38,88.78
8.29,96.23,6.7,45.47,116.12
3.57,93.87,7.19,69.67,95.8
2.81,62.9,7.63,43.45,81.33
5.43,83.0,8.88,72.97,100.96
1.41,90.86,6.58,66.49,72.13
8.02,77.76,5.61,93.26,117.31
0.75,76.48,7.98,61.05,76.94
9.87,62.09,5.35,47.02,102.68
7.72,54.66,6.19,48.58,82.69
1.99,94.86,4.39,85.69,85.4
0.06,95.02,4.13,77.09,65.48
8.15,81.66,8.81,46.07,113.48
7.07,66.95,8.18,45.05,99.82
7.29,67.46,7.48,82.06,107.25
7.71,86.3,6.04,44.37,97.76
0.74,94.86,4.87,89.31,77.19
3.58,94.35,4.78,82.37,93.21
1.16,88.99,5.25,44.88,70.97
8.63,82.1,6.75,45.09,101.13
6.23,54.21,7.57,99.2,112.35
3.31,58.08,7.3,62.46,78.2
0.64,94.93,5.4,62.24,68.79
3.11,80.32,8.77,88.77,100.94
3.25,50.46,7.69,96.83,88.02
7.3,55.07,6.77,99.16,110.21
6.38,83.18,7.06,85.2,106.1
8.87,50.25,6.1,62.58,112.58
4.72,58.04,5.24,45.01,74.92
1.2,77.44,5.78,86.63,77.7
7.13,84.59,7.79,73.5,114.88
7.61,82.6,4.07,65.45,100.65
5.61,61.21,4.58,94.38,96.82
7.71,85.61,4.23,46.67,98.66
4.94,61.86,4.2,69.56,87.47
5.23,66.27,8.28,40.68,84.47
4.28,87.32,7.52,68.12,94.5
0.25,82.48,6.37,43.38,61.1
1.08,92.46,4.49,47.13,53.94
0.31,82.88,6.46,47.05,57.05
6.36,78.42,6.37,78.95,112.86
3.14,54.68,4.87,84.76,88.85
5.09,68.39,6.17,75.0,93.21
9.08,63.26,5.99,97.73,124.31
2.49,62.2,7.08,62.49,78.92
4.1,98.65,7.18,57.14,109.89
7.56,69.65,4.23,92.12,113.8
2.29,94.6,5.87,53.42,78.17
0.77,81.56,7.13,97.79,84.04
2.9,89.74,6.52,40.73,69.22
1.61,75.13,8.28,98.19,95.74
9.3,78.85,7.29,42.59,105.27
8.08,74.63,4.81,93.47,107.51
6.33,59.76,4.35,71.66,88.09
8.71,86.12,7.21,99.58,125.47
8.04,64.04,4.13,44.43,98.0
1.87,51.22,6.93,73.23,79.18
8.93,82.27,8.7,98.16,134.64
5.39,58.86,6.88,71.39,101.21
